Announce Date,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
2025-02-25,OPAL Fuels Inc,Western Milling fueling station/Visalia,,,,Completed
2025-02-14,Investment AB Latour,American Geothermal,Encore Energy Systems Inc,,,Completed
2025-02-13,Apartment Investment and Management Co,Midship pipeline/Kingfisher County,Cheniere Energy Inc,,,Completed
2025-02-12,Apollo Global Management Inc,Bold Production Services LLC,,,,Completed
2025-02-12,Trulite Inc,Dependable Glass Works Inc,,,,Completed
2025-02-06,OneWater Marine Inc,American Global Yacht Group LLC,,,,Completed
2025-02-06,Maclaren Minerals Ltd,Sankamap Exploration Inc,,,,Completed
2025-02-04,Bitdeer Technologies Group,101 MW opal gas fired power project/Alberta,Kiwetinohk Energy Corp,21.7,,Completed
2025-02-03,Topaz Energy Corp,40 MMcf/d natural gas processing facility/Alberta,Logan Energy Ltd,,,Completed
2025-01-31,Freedom Holdings Inc,Renewable Energy Products Manufacturing Corp,,,,Completed
2025-01-29,Brookfield Renewable Corp,3.2 MW Churchill Street Solar project/Pittsfield,Sunfarm Solar LLC,,,Completed
2025-01-27,Atlas Energy Solutions Inc,Moser Engine Service,Hilltop Holdings Inc,220.0,,Completed
2025-01-21,SGS SA,MP Machinery & Testing LLC,Praesidian Capital Corp,,,Completed
2025-01-15,Eni SpA,Tate Engineering Systems Inc,,,,Completed
2025-01-14,ABB Ltd,Coulomb Inc,,,,Completed
2025-01-10,Gryphon Digital Mining Inc,"BowArk Energy Ltd,Captus Generation Ltd","West Lake Energy Corp,BTG Capital Inc",16.65,,Completed
2025-01-10,US Energy Corp,Operated acreage targeting helium & other industrial gas production/Toole County,Synergy Offshore LLC,4.27,,Completed
2025-01-10,Cruz Battery Metals Corp,580 acre lithium brine project/Clayton Valley,Schlumberger NV,0.17,,Completed
2025-01-08,Kimbell Royalty Partners LP,Magbee Ranch/New Mexico,Boren Minerals Inc,231.0,,Completed
2025-01-08,Smartstop Self Storage REIT Inc,"1204 Broad St/Clifton,591 N Union Ave/Hillside",,,,Completed
2025-01-07,ICF International Inc,Applied Energy Group,Ameresco Inc,,,Completed
2025-01-06,Alto Ingredients Inc,Kodiak Carbonic LLC,,7.25,,Completed
2024-12-31,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,Completed
2024-12-31,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,Completed
2024-12-30,Mosman Oil & Gas Ltd,Sagebrush Project/Colorado,Seeley Oil Co LLC,,,Completed
2024-12-24,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,Completed
2024-12-18,YPF SA,Mobil Argentina SA,Exxon Mobil Corp,327.0,,Completed
2024-12-18,Smartstop Self Storage REIT Inc,Class A self-storage facility/Aurora,,,,Completed
2024-12-13,Delek Logistics Partners LP,Gravity water midstream division/Gravity Oilfield Services Inc,Gravity Oilfield Services Inc,285.0,,Completed
2024-12-09,Freehold Royalties Ltd,Mineral title & royalty interests/Midland Basin,,216.0,,Completed
2024-12-05,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,Completed
2024-12-05,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,Completed
2024-12-04,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,Completed
2024-12-03,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,Completed
2024-12-03,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,Completed
2024-12-03,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,Completed
2024-12-02,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,Completed
2024-12-02,Innovex International Inc,Downhole Well Solutions LLC,,,,Completed
2024-11-27,Logan Energy Corp CA,Certain assets/Simonette,Gran Tierra Energy Inc,37.07,,Completed
2024-11-27,Primary Hydrogen Corp,"131 claims Mary's Harbour hydrogen project/Labrador,211 claims Point Rosie hydrogen Project/Newfoundland",,,,Completed
2024-11-26,DNOW Inc,Trojan Rentals LLC,,,,Completed
2024-11-25,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,Completed
2024-11-25,Alternus Clean Energy Inc,Customer contracts & service agreements/Liion LLC,Liion LLC,2.5,,Completed
2024-11-25,Stardust Solar Energy Inc,Certain assets/Solar Grids Development LLC,Solar Grids Development LLC,,,Completed
2024-11-25,NextNRG Inc,Mobile fuel service operations/Yoshi Inc,Yoshi Inc,,,Completed
2024-11-24,ONEOK Inc,EnLink Midstream LLC,,8631.38,8.38,Completed
2024-11-21,KOC Holding AS,StemBioSys Inc,,,,Completed
2024-11-21,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,Completed
2024-11-20,Landbridge Co LLC,Wolf Bone Ranch/Delaware,VTX Energy Partners LLC,245.0,,Completed
2024-11-19,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200.0,,Completed
2024-11-19,Fusion Fuel Green PLC,Quality Industrial Corp,"ILUS International Inc,Exchange Listing LLC",2.18,,Completed
2024-11-14,Ovintiv Inc,Karr Wapiti & Zama properties/Paramount Resources Ltd,Paramount Resources Ltd,2377.0,,Completed
2024-11-14,Flex Ltd,JETCOOL Technologies Inc,"In-Q-Tel Inc,Schooner Capital LLC,Robert Bosch Venture Capital GmbH,Raptor Group Holdings LP (Fund: RW3 Ventures I LP)",,,Completed
2024-11-13,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,Completed
2024-11-12,Tourmaline Oil Corp,Todd Energy Canada Ltd,,215.01,,Completed
2024-11-11,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,Completed
2024-11-06,Freyr Battery Inc,1350000 sq ft solar module manufacturing facility/Wilmer,Trina Solar Co Ltd,300.0,,Completed
2024-11-06,Silicon Metals Corp,Silica Ridge Silica Project/MacKenzie,Cronin Exploration Inc,0.23,,Completed
2024-11-06,Silicon Metals Corp,Longworth Silica Project/George,Cronin Exploration Inc,0.13,,Completed
2024-11-06,PureWave Hydrogen Corp,Purewave Hydrogen Corp/US,,,,Completed
2024-11-06,Corp ACCIONA Energias Renovables SA,300 MW wind farm/Texas,,,,Completed
2024-11-06,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,Completed
2024-11-05,Acciona SA,Portfolio of 2 new wind farms/Texas,,202.5,,Completed
2024-11-04,Zeo Energy Corp,Certain Assets,Lumio Holdings Inc,12.92,,Completed
2024-11-01,Global Partners LP/MA,Liquid energy terminal/Rhode Island,Exxon Mobil Corp,,,Completed
2024-10-31,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,Completed
2024-10-30,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250.0,,Completed
2024-10-30,Archer Ltd,Wellbore Fishing & Rental Tools LLC,,51.5,,Completed
2024-10-30,Meritage Homes Corp,Certain assets/Elliott Homes Inc,Elliott Homes Inc,,,Completed
2024-10-29,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,Completed
2024-10-24,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160.0,,Completed
2024-10-23,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,Completed
2024-10-15,Cipher Mining Inc,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,Completed
2024-10-07,Canadian Natural Resources Ltd,"Athabasca Oil Sands Project/Alberta,Duvernay shale/Alberta","Chevron Corp,Chevron Canada Oil Sands Partnership",6500.0,,Completed
2024-10-07,Comstock Resources Inc,Quantum Generative Materials LLC,,,,Completed
2024-10-04,Talen Energy Corp,Nautilus Cryptomine facility,Terawulf Inc,85.0,,Completed
2024-10-04,Distribution Solutions Group I,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,Completed
2024-10-01,Summit Midstream Corp,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,Completed
2024-09-30,Ultralife Corp,Electrochem Solutions Inc,Integer Holdings Corp,50.0,,Completed
2024-09-30,Partners Group Holding AG,Gateway EV Fleets LLC,,,,Completed
2024-09-26,Gevo Inc,Cultivate Agricultural Intelligence LLC,,6.0,,Completed
2024-09-26,Silicon Metals Corp,Ptarmigan Silica Project/Valemount,Cronin Exploration Inc,0.08,,Completed
2024-09-25,Altima Energy Inc,Richdale assets/Alberta,Uriel Gas Holdings Corp,0.45,,Completed
2024-09-25,Marubeni Corp,Eagle Ford CCS Project/Ozona CCS LLC,Ozona CCS LLC,,,Completed
2024-09-24,"Diamondback Energy Inc,Kinetik Holdings Inc",EPIC Crude Holdings LP,IMTT Epic LLC,,,Completed
2024-09-17,Rubellite Energy Inc,Perpetual Energy Inc,,45.28,1.62,Completed
2024-09-16,Revolve Renewable Power Corp,30MWp solar project/Alberta,,,,Completed
2024-09-12,Gevo Inc,Ethanol production plant & carbon capture & sequestration assets/US,Red Trail Energy LLC,210.0,,Completed
2024-09-12,Apollo Global Management Inc,Freedom CNG Management LLC,,,,Completed
2024-09-11,Viper Energy Inc,"TWR IV SellCo LLC,TWR IV LLC","Tumbleweed Royalty IV LLC,TWR IV SellCo Parent LLC",461.0,,Completed
2024-09-10,Brookfield Renewable Partners LP,Wheeler gulch solar project/Caerus Oil & Gas LLC,Caerus Oil and Gas LLC,,,Completed
2024-09-10,Brookfield Renewable Corp,12.18 MW Wheeler Gulch Solar Project/Colorado,Caerus Piceance LLC,,,Completed
2024-09-04,Atco Ltd/Canada,NRB Modular Solutions Inc,Dexterra Group Inc,,,Completed
2024-09-03,Viper Energy Inc,Tumbleweed-Q Royalties LLC,,113.4,,Completed
2024-09-03,Viper Energy Inc,"MC TWR Royalties LP,MC TWR Intermediate LLC",,75.6,,Completed
2024-09-03,Bayerische Motoren Werke AG,Wind energy unit/Aeromine Technologies Inc,Aeromine Technologies Inc,,,Completed
2024-09-03,Weatherford International PLC,Datagration LLC,,,,Completed
2024-08-30,Genesis Mining Technologies Co,Silex Argentina SA,Golden Minerals Co,3.5,,Completed
2024-08-30,Fairchild Gold Corp,Goodsprings Exploration LLC,,0.5,,Completed
2024-08-29,ONEOK Inc,Medallion Midstream LLC,Global Infrastructure Management LLC,2600.0,,Completed
2024-08-27,Texas Pacific Land Corp,2 oil & gas mineral interests/Permian Basin,,169.0,,Completed
2024-08-22,Deutsche Lufthansa AG,ETP Thermal Dynamics LLC,Campbell Holdings Group LLC,,,Completed
2024-08-21,Enterprise Products Partners LP,Pinon Midstream LLC,Black Bay Energy Capital LLC,950.0,,Completed
2024-08-20,Diversified Energy Co PLC,Operated natural gas properties/Eastern Texas,,68.0,,Completed
2024-08-13,New Asia Holdings Inc,162 miles of Texas pipeline/Taylor Consulting,Taylor Consulting,,,Completed
2024-08-13,Partners Group Holding AG,Grid edge distributed energy resource management system/Sunverge Energy Inc,Sunverge Energy Inc,,,Completed
2024-08-12,Tourmaline Oil Corp,Crew Energy Inc,,881.67,5.25,Completed
2024-08-12,Core & Main Inc,Grogreen Solutions Georgia LLC,,,,Completed
2024-08-07,"SM Energy Co,Northern Oil and Gas Inc",Uinta Basin assets/Altamont Energy LLC,Altamont Energy LLC,511.0,,Completed
2024-08-07,Delek Logistics Partners LP,H2O Midstream LLC,EIV Capital Management Co LLC,230.0,,Completed
2024-08-07,EMP Metals Corp,Hub City Lithium Corp,ROK Resources Inc,4.05,,Completed
2024-08-06,Constellation Energy Corp,Constellation South Texas LLC,,,,Completed
2024-08-06,MPLX LP,BANGL NGL pipeline/Permian,,,,Completed
2024-08-06,Zefiro Methane Corp,Plants & Goodwin Inc,,,,Completed
2024-08-05,Complete Solaria Inc,Blue Raven Solar LLC,SunPower Corp,45.0,,Completed
2024-08-02,Rubellite Energy Inc,Buffalo Mission Energy Corp,,70.34,,Completed
2024-08-01,Fomento Economico Mexicano SAB de CV,Unnamed Target,Delek US Holdings Inc,385.0,,Completed
2024-08-01,Enrg Elements Ltd,Lamont Lake Uranium Project/North Saskatchewan,,0.07,,Completed
