Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Price_Status
25-02-2025,OPAL,OPAL Fuels Inc,Western Milling fueling station/Visalia,,,,Completed,2025-02-14,3.1,2025-02-28,2.5,Success
14-02-2025,18LB.HA,Investment AB Latour,American Geothermal,Encore Energy Systems Inc,,,Completed,,,,,No valid trading days found
13-02-2025,AIV,Apartment Investment and Management Co,Midship pipeline/Kingfisher County,Cheniere Energy Inc,,,Completed,2025-01-31,9.04,2025-02-24,8.93,Success
12-02-2025,APO,Apollo Global Management Inc,Bold Production Services LLC,,,,Completed,2025-01-31,170.49,2025-02-24,147.87,Success
12-02-2025,TRUL,Trulite Inc,Dependable Glass Works Inc,,,,Completed,2025-01-31,0.0,2025-02-24,0.0,Success
06-02-2025,ONEW,OneWater Marine Inc,American Global Yacht Group LLC,,,,Completed,2025-01-24,17.07,2025-02-18,19.12,Success
04-02-2025,BTDR,Bitdeer Technologies Group,101 MW opal gas fired power project/Alberta,Kiwetinohk Energy Corp,21.7,,Completed,2025-01-24,20.66,2025-02-14,16.5,Success
03-02-2025,CA89055A2039.SG,Topaz Energy Corp,40 MMcf/d natural gas processing facility/Alberta,Logan Energy Ltd,,,Completed,,,,,No valid trading days found
31-01-2025,FHLD,Freedom Holdings Inc,Renewable Energy Products Manufacturing Corp,,,,Completed,2025-01-17,0.16,2025-02-10,0.14,Success
29-01-2025,BEPC,Brookfield Renewable Corp,3.2 MW Churchill Street Solar project/Pittsfield,Sunfarm Solar LLC,,,Completed,2025-01-17,25.01,2025-02-10,26.75,Success
27-01-2025,AESI,Atlas Energy Solutions Inc,Moser Engine Service,Hilltop Holdings Inc,220.0,,Completed,2025-01-16,24.35,2025-02-06,21.46,Success
21-01-2025,SGSN.SW,SGS SA,MP Machinery & Testing LLC,Praesidian Capital Corp,,,Completed,2025-01-10,93.18,2025-01-31,88.52,Success
15-01-2025,E,Eni SpA,Tate Engineering Systems Inc,,,,Completed,2025-01-03,27.7,2025-01-27,28.28,Success
14-01-2025,ABBN.SW,ABB Ltd,Coulomb Inc,,,,Completed,2025-01-03,49.16,2025-01-24,54.0,Success
10-01-2025,GRYP,Gryphon Digital Mining Inc,"BowArk Energy Ltd,Captus Generation Ltd","West Lake Energy Corp,BTG Capital Inc",16.65,,Completed,2024-12-30,0.4,2025-01-21,0.42,Success
10-01-2025,USEG,US Energy Corp,Operated acreage targeting helium & other industrial gas production/Toole County,Synergy Offshore LLC,4.27,,Completed,2024-12-30,1.61,2025-01-21,3.79,Success
10-01-2025,BKTPF,Cruz Battery Metals Corp,580 acre lithium brine project/Clayton Valley,Schlumberger NV,0.17,,Completed,2024-12-30,0.04,2025-01-21,0.03,Success
08-01-2025,KRP,Kimbell Royalty Partners LP,Magbee Ranch/New Mexico,Boren Minerals Inc,231.0,,Completed,2024-12-27,15.81,2025-01-21,15.94,Success
08-01-2025,STSFF,Smartstop Self Storage REIT Inc,"1204 Broad St/Clifton,591 N Union Ave/Hillside",,,,Completed,2024-12-27,8.95,2025-01-21,10.35,Success
07-01-2025,ICFI,ICF International Inc,Applied Energy Group,Ameresco Inc,,,Completed,2024-12-27,118.46,2025-01-17,129.44,Success
