List of Tickers,Year,Sales in Mn. Dollars
DTM,2023,922
CPF,2023,329.32
CEG,2023,24918
CNX,2023,1539.462
AMPS,2023,155.162
CRGY,2023,2382.602
SMC,2023,458.903
NU,2023,8028.976
MARA,2023,387.508
CVE,2023,52195
INVX,2023,555.539
DNOW,2023,2321
SPRU,2023,79.859
AMPS,2023,155.162
LB,2023,72.865
DTM,2023,922
FLEX,2023,28502
CTRA,2023,5914
MARA,2023,387.508
NOW,2023,8971
AEE,2023,7500
EQNR,2023,106848
CECO,2023,544.845
D,2023,14393
SHEL,2023,316620
CIFR,2023,126.842
CRK,2023,1565.109
DSGR,2023,1570.402
SMC,2023,458.903
ULBI,2023,158.644
APO,2023,32781
WFRD,2023,5135
OKE,2023,17677
TPL,2023,631.595
CEG,2023,24918
MPLX,2023,11281
PR,2023,3120.893
SD,2023,148.641
FLS,2023,4320.577
AROC,2023,990.337
DOV,2023,7684.476
HON,2023,36662
SEI,2023,292.947
UTL,2023,557.1
DVN,2023,15258
GNRC,2023,4022.667
AMPS,2023,155.162
NXT,2023,1902.137
MTDR,2023,2808.046
NE,2023,2589.018
PUMP,2023,1630.399
COP,2023,56141
ET,2023,78586
KMI,2023,15334
OKE,2023,17677
KNTK,2023,1256.412
PWR,2023,20882.206
TMHC,2023,7417.831
APO,2023,32781
EQNR,2023,106848
AM,2023,1041.771
WTTR,2023,1585.353
MPLX,2023,11281
REPX,2023,375.047
INVX,2023,555.539
UHAL,2023,5864.691
BLK,2023,17859
EQT,2023,5647.763
ACA,2023,2307.9
TALO,2023,1457.886
LUV,2023,26091
WEC,2023,8893
FANG,2023,8302
VTLE,2023,1547.604
MGEE,2023,690.285
DNOW,2023,2321
NWN,2023,1197.475
AWK,2023,4234
MGEE,2023,690.285
WFRD,2023,5135
AMPS,2023,155.162
WTTR,2023,1585.353
NVAX,2023,983.705
SUN,2023,23068
TALO,2023,1457.886
EXE,2023,8721
SUN,2023,23068
APA,2023,8378
NFE,2022,2368.272
VTLE,2022,1920.796
CPK,2022,680.704
SHEL,2022,381314
OXY,2022,36634
WCN,2022,7211.859
ARRY,2022,1637.546
PUMP,2022,1279.701
NOG,2022,1570.535
VRN,2022,3512.3
ENB,2022,53309
FET,2022,699.913
COP,2022,78494
BIP,2022,14427
BIP,2022,14427
ORA,2022,734.159
HLX,2022,873.1
XOM,2022,398675
VTS,2022,300.07
XIFR,2022,969
CIVI,2022,3791.398
CPK,2022,680.704
CPK,2022,680.704
MAXN,2022,783.279
GPRE,2022,3662.849
CVX,2022,235717
FTV,2022,5825.7
CVX,2022,235717
TS,2022,11762.526
ENB,2022,53309
ENB,2022,53309
ENB,2022,53309
ENB,2022,53309
WES,2022,3251.721
FSV,2022,3745.835
EQT,2022,6185.336
PR,2022,2131.265
SPRU,2022,23.194
ET,2022,89876
DINO,2022,38204.839
OXY,2022,36634
TS,2022,11762.526
AMRC,2022,1824.422
NU,2022,4792.231
VST,2022,13728
AMPS,2022,101.163
BRY,2022,918.341
XOM,2022,398675
REI,2022,347.2495
PTEN,2022,2647.592
NXU,2022,0
CMI,2022,28074
NOG,2022,1570.535
CIVI,2022,3791.398
PTEN,2022,2647.592
NOG,2022,1570.535
CEG,2022,24440
COP,2022,78494
SR,2022,2198.5
CVX,2022,235717
VTLE,2022,1920.796
SUN,2022,25729
CRGY,2022,3057.065
ENB,2022,53309
TRP,2022,12309
SU,2022,58336
WULF,2022,15.033
WHD,2022,688.369
D,2022,13938
LBRT,2022,4149.228
OVV,2022,12464
ADHI,2022,#N/A N/A
VRN,2022,3512.3
ET,2022,89876
WGO,2022,4957.73
SPRU,2022,23.194
KLXE,2022,781.6
VST,2022,13728
EQNR,2022,149004
PLUG,2022,701.44
PLUG,2022,701.44
REPX,2022,321.743
DNOW,2022,2136
VTLE,2022,1920.796
GLNG,2022,267.74
MTDR,2022,3039.216
SHEL,2022,381314
DUK,2022,28768
PSX,2022,169990
HASI,2022,239.737
TRGP,2022,20929.8
AMPS,2022,101.163
SHEL,2022,381314
AM,2021,898.202
LINK,2021,7.478
NRG,2021,26989
PATK,2021,4078.092
CVX,2021,155606
CVX,2021,155606
FANG,2021,5567
CMC,2021,6729.76
AIV,2021,172.113
CPK,2021,569.968
PUMP,2021,874.514
CEG,2021,19649
WTTR,2021,764.62
ARIS,2021,229.251
BH,2021,366.106
PROP,2021,0.8076
NOA,2021,654.143
D,2021,13964
FANG,2021,5567
NOG,2021,496.899
NOG,2021,496.899
DTM,2021,840
DTM,2021,840
BN,2021,75731
ENB,2021,47071
ETR,2021,11742.896
TALO,2021,1212.503
AM,2021,898.202
ARKO,2021,7417.398
SPRU,2021,15.6
EQT,2021,4680.893
ABM,2021,6228.6
ENB,2021,47071
NOG,2021,496.899
