Company Name,Ticker
OPAL Fuels Inc,OPAL
Investment AB Latour,18LB.HA
Apartment Investment and Management Co,AIV
Apollo Global Management Inc,APO
Trulite Inc,TRUL
OneWater Marine Inc,ONEW
Maclaren Minerals Ltd,Ticker not found
Bitdeer Technologies Group,BTDR
Topaz Energy Corp,CA89055A2039.SG
Freedom Holdings Inc,FHLD
Brookfield Renewable Corp,BEPC
Atlas Energy Solutions Inc,AESI
SGS SA,SGSN.SW
Eni SpA,E
ABB Ltd,ABBN.SW
Gryphon Digital Mining Inc,GRYP
US Energy Corp,USEG
Cruz Battery Metals Corp,BKTPF
Kimbell Royalty Partners LP,KRP
Smartstop Self Storage REIT Inc,STSFF
ICF International Inc,ICFI
Alto Ingredients Inc,ALTO
DT Midstream Inc,DTM
Central Pacific Financial Corp,CPF
Mosman Oil & Gas Ltd,Ticker not found
Constellation Energy Corp,CEG
YPF SA,YPF.SG
Smartstop Self Storage REIT Inc,STSFF
Delek Logistics Partners LP,DKL
Freehold Royalties Ltd,FRU.TO
CNX Resources Corp,CNX
Altus Power Inc,AMPS
Crescent Energy Co,CRGY
Summit Midstream Corp,SMC
Eversource Energy,NU
MARA Holdings Inc,MARA
Cenovus Energy Inc,CVE
Innovex International Inc,INVX
Logan Energy Corp CA,Ticker not found
Primary Hydrogen Corp,HDRO.V
DNOW Inc,DNOW
Spruce Power Holding Corp,SPRU
Alternus Clean Energy Inc,ALCE
Stardust Solar Energy Inc,SUN.V
NextNRG Inc,NXXT
ONEOK Inc,OKE
KOC Holding AS,KRKA.BE
Altus Power Inc,AMPS
Landbridge Co LLC,LB
DT Midstream Inc,DTM
Fusion Fuel Green PLC,HTOO
Ovintiv Inc,OVV
Flex Ltd,FLEX
Coterra Energy Inc,CTRA
Tourmaline Oil Corp,TOU.TO
MARA Holdings Inc,MARA
Freyr Battery Inc,FREY
Silicon Metals Corp,X6U0.F
Silicon Metals Corp,X6U0.F
PureWave Hydrogen Corp,PWH.V
Corp ACCIONA Energias Renovables SA,5BP.HA
ServiceNow Inc,NOW
Acciona SA,ANA.VI
Zeo Energy Corp,ZEOWW
Global Partners LP/MA,Ticker not found
Ameren Corp,AEE
Equinor ASA,EQNR
Archer Ltd,8SW.F
Meritage Homes Corp,MEY.DU
CECO Environmental Corp,CECO
Dominion Energy Inc,D
Shell PLC,SHEL
Cipher Mining Inc,CIFR
Canadian Natural Resources Ltd,CRC.BE
Comstock Resources Inc,CRK
Talen Energy Corp,TLN
Distribution Solutions Group I,DSGR
Summit Midstream Corp,SMC
Ultralife Corp,ULBI
Partners Group Holding AG,PGHN.SW
Gevo Inc,GEVO
Silicon Metals Corp,X6U0.F
Altima Energy Inc,ARSLF
Marubeni Corp,8002.T
"Diamondback Energy Inc,Kinetik Holdings Inc",Ticker not found
Rubellite Energy Inc,Ticker not found
Revolve Renewable Power Corp,PM7.F
Gevo Inc,GEVO
Apollo Global Management Inc,APO
Viper Energy Inc,VNOM
Brookfield Renewable Partners LP,Ticker not found
