Ticker,Acquirer Name,Announce Date,Market_Cap_mil,Debt_to_Equity,ROA_percent,Status
OPAL,OPAL Fuels Inc,25-02-2025,82.45,,0.6,Success
18LB.HA,Investment AB Latour,14-02-2025,,,,Success
AIV,Apartment Investment and Management Co,13-02-2025,1264.93,,-0.5,Success
APO,Apollo Global Management Inc,12-02-2025,89560.96,,0.39,Success
TRUL,Trulite Inc,12-02-2025,,,,Success
ONEW,OneWater Marine Inc,06-02-2025,301.17,,-0.74,Success
BTDR,Bitdeer Technologies Group,04-02-2025,2433.85,,-4.79,Success
CA89055A2039.SG,Topaz Energy Corp,03-02-2025,,,,Success
FHLD,Freedom Holdings Inc,31-01-2025,6.57,,16.31,Success
BEPC,Brookfield Renewable Corp,29-01-2025,4393.51,,,Success
AESI,Atlas Energy Solutions Inc,27-01-2025,3012.92,,0.73,Success
SGSN.SW,SGS SA,21-01-2025,16229.69,,,Success
E,Eni SpA,15-01-2025,44085.96,,0.37,Success
ABBN.SW,ABB Ltd,14-01-2025,89837.93,,2.35,Success
GRYP,Gryphon Digital Mining Inc,10-01-2025,31.19,,-78.83,Success
USEG,US Energy Corp,10-01-2025,67.86,,-3.51,Success
BKTPF,Cruz Battery Metals Corp,10-01-2025,3.86,,-7.74,Success
KRP,Kimbell Royalty Partners LP,08-01-2025,1444.16,,-2.9,Success
STSFF,Smartstop Self Storage REIT Inc,08-01-2025,789.93,,-0.16,Success
ICFI,ICF International Inc,07-01-2025,2166.41,,1.19,Success
ALTO,Alto Ingredients Inc,06-01-2025,140.26,,-0.58,Success
DTM,DT Midstream Inc,31-12-2024,10078.13,,0.73,Success
CPF,Central Pacific Financial Corp,31-12-2024,778.95,,0.15,Success
CEG,Constellation Energy Corp,24-12-2024,71889.11,,1.61,Success
YPF.SG,YPF SA,18-12-2024,,,,Success
STSFF,Smartstop Self Storage REIT Inc,18-12-2024,772.03,,-0.16,Success
DKL,Delek Logistics Partners LP,13-12-2024,2085.28,,1.73,Success
FRU.TO,Freehold Royalties Ltd,09-12-2024,2191.34,,2.12,Success
CNX,CNX Resources Corp,05-12-2024,5682.79,,-1.7,Success
AMPS,Altus Power Inc,05-12-2024,611.2,,0.79,Success
CRGY,Crescent Energy Co,04-12-2024,2791.61,,-1.29,Success
SMC,Summit Midstream Corp,03-12-2024,404.76,,-9.88,Success
NU,Eversource Energy,03-12-2024,43822.37,,1.14,Success
MARA,MARA Holdings Inc,03-12-2024,8528.67,,-3.49,Success
CVE,Cenovus Energy Inc,02-12-2024,28672.46,,0.26,Success
INVX,Innovex International Inc,02-12-2024,1110.21,,7.29,Success
HDRO.V,Primary Hydrogen Corp,27-11-2024,10.97,,-45.83,Success
DNOW,DNOW Inc,26-11-2024,1597.99,,1.42,Success
SPRU,Spruce Power Holding Corp,25-11-2024,43.16,,-6.63,Success
ALCE,Alternus Clean Energy Inc,25-11-2024,11.84,,-5.49,Success
SUN.V,Stardust Solar Energy Inc,25-11-2024,8.86,,-231.19,Success
NXXT,NextNRG Inc,25-11-2024,277.59,,13.27,Success
OKE,ONEOK Inc,24-11-2024,,,1.44,Success
KRKA.BE,KOC Holding AS,21-11-2024,,,0.08,Success
AMPS,Altus Power Inc,21-11-2024,649.6,,0.79,Success
LB,Landbridge Co LLC,20-11-2024,1534.77,,0.38,Success
DTM,DT Midstream Inc,19-11-2024,10366.73,,0.73,Success
HTOO,Fusion Fuel Green PLC,19-11-2024,7.75,,-6.83,Success
OVV,Ovintiv Inc,14-11-2024,11557.13,,-0.31,Success
FLEX,Flex Ltd,14-11-2024,14420.0,,1.44,Success
CTRA,Coterra Energy Inc,13-11-2024,19409.43,,1.37,Success
TOU.TO,Tourmaline Oil Corp,12-11-2024,23372.53,,1.75,Success
MARA,MARA Holdings Inc,11-11-2024,8487.94,,-3.49,Success
FREY,Freyr Battery Inc,06-11-2024,245.86,,-1.32,Success
X6U0.F,Silicon Metals Corp,06-11-2024,,,,Success
X6U0.F,Silicon Metals Corp,06-11-2024,,,,Success
PWH.V,PureWave Hydrogen Corp,06-11-2024,8.92,,-4.88,Success
5BP.HA,Corp ACCIONA Energias Renovables SA,06-11-2024,,,,Success
NOW,ServiceNow Inc,06-11-2024,205347.2,,1.88,Success
ANA.VI,Acciona SA,05-11-2024,6587.35,,,Success
ZEOWW,Zeo Energy Corp,04-11-2024,,,-0.9,Success
AEE,Ameren Corp,31-10-2024,23338.86,,0.46,Success
EQNR,Equinor ASA,30-10-2024,64881.14,,1.69,Success
8SW.F,Archer Ltd,30-10-2024,142.87,,0.27,Success
MEY.DU,Meritage Homes Corp,30-10-2024,,,2.41,Success
CECO,CECO Environmental Corp,29-10-2024,789.37,,0.64,Success
D,Dominion Energy Inc,24-10-2024,50594.16,,-0.07,Success
SHEL,Shell PLC,23-10-2024,195728.77,,1.09,Success
CIFR,Cipher Mining Inc,15-10-2024,1583.5,,2.05,Success
CRC.BE,Canadian Natural Resources Ltd,07-10-2024,,,3.02,Success
CRK,Comstock Resources Inc,07-10-2024,3541.39,,-0.74,Success
TLN,Talen Energy Corp,04-10-2024,8748.85,,2.45,Success
DSGR,Distribution Solutions Group I,04-10-2024,1815.91,,1.23,Success
SMC,Summit Midstream Corp,01-10-2024,366.85,,-9.88,Success
ULBI,Ultralife Corp,30-09-2024,150.31,,0.15,Success
PGHN.SW,Partners Group Holding AG,30-09-2024,33156.91,,,Success
GEVO,Gevo Inc,26-09-2024,349.53,,-3.5,Success
X6U0.F,Silicon Metals Corp,26-09-2024,,,,Success
ARSLF,Altima Energy Inc,25-09-2024,6.26,,-10.46,Success
8002.T,Marubeni Corp,25-09-2024,3851392.34,,1.12,Success
PM7.F,Revolve Renewable Power Corp,16-09-2024,9.96,,-6.08,Success
GEVO,Gevo Inc,12-09-2024,220.25,,-3.5,Success
APO,Apollo Global Management Inc,12-09-2024,63741.66,,0.39,Success
VNOM,Viper Energy Inc,11-09-2024,5857.27,,4.14,Success
BEPC,Brookfield Renewable Corp,10-09-2024,4927.79,,,Success
VNOM,Viper Energy Inc,03-09-2024,6026.0,,4.14,Success
VNOM,Viper Energy Inc,03-09-2024,6026.0,,4.14,Success
BMW.DE,Bayerische Motoren Werke AG,03-09-2024,46032.79,,0.15,Success
