Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2024-12-31,2023,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,2024-12-20,100.91,2025-01-10,103.49,10078.13,0.73,5856083.83,Completed,Brown,Brown,581.0685
2024-12-31,2023,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,2024-12-20,28.03,2025-01-10,26.25,778.95,0.15,3287765.3,Completed,Neutral,Brown,4220.7655
2024-12-24,2023,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,2024-12-13,239.07,2025-01-03,252.4,71889.11,1.61,9679181.0,Completed,Neutral,Brown,134.6404
2024-12-05,2023,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,2024-11-22,41.09,2024-12-16,36.9,5682.79,-1.7,280001.51,Completed,Brown,Brown,49.2718
2024-12-05,2023,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,2024-11-22,4.17,2024-12-16,3.81,611.2,0.79,645.85,Completed,Neutral,Green,1.0567
2024-12-04,2023,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,2024-11-22,15.28,2024-12-16,14.21,2791.61,-1.29,671906.16,Completed,Neutral,Brown,240.6877
2024-12-03,2023,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,2024-11-22,37.35,2024-12-13,35.91,404.76,-9.88,10916116.91,Completed,Neutral,Brown,26969.3569
2024-12-03,2023,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,2024-11-22,13.91,2024-12-13,11.94,43822.37,1.14,23.1,Completed,Neutral,Green,0.0005
2024-12-03,2023,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,2024-11-22,26.03,2024-12-13,22.73,8528.67,-3.49,1455.59,Completed,Green,Green,0.1707
2024-12-02,2023,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,2024-11-21,16.2,2024-12-12,15.11,28672.46,0.26,8469286.41,Completed,Neutral,Brown,295.3805
