Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Deal Status
31-12-2024,2023,DTM,DT Midstream Inc,5856083.83,581.0685,Brown,3 interstate natural gas pipeline systems/ONEOK Inc,Brown,ONEOK Inc,1200,20-12-2024,100.91,10-01-2025,103.49,10078.13,0.73,Completed
31-12-2024,2023,CPF,Central Pacific Financial Corp,3287765.3,4220.7655,Brown,American Savings Bank FSB/Honolulu HI,Neutral,Hawaiian Electric Industries Inc,405,20-12-2024,28.03,10-01-2025,26.25,778.95,0.15,Completed
24-12-2024,2023,CEG,Constellation Energy Corp,9679181,134.6404,Brown,Portfolio of 26 acre mystic property/Constellation Energy Corp,Neutral,Eversource Energy,,13-12-2024,239.07,03-01-2025,252.4,71889.11,1.61,Completed
05-12-2024,2023,CNX,CNX Resources Corp,280001.51,49.2718,Brown,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Brown,Wcaa Upstream LLC,505,22-11-2024,41.09,16-12-2024,36.9,5682.79,-1.7,Completed
05-12-2024,2023,AMPS,Altus Power Inc,645.85,1.0567,Green,Portfolio of 3 operational projects/Maine,Neutral,,,22-11-2024,4.17,16-12-2024,3.81,611.2,0.79,Completed
04-12-2024,2023,CRGY,Crescent Energy Co,671906.16,240.6877,Brown,Eagle Ford assets/Ridgemar Energy Operating LLC,Neutral,Ridgemar Energy Operating LLC,905,22-11-2024,15.28,16-12-2024,14.21,2791.61,-1.29,Completed
03-12-2024,2023,SMC,Summit Midstream Corp,10916116.91,26969.3569,Brown,Tall Oak Midstream III LLC,Neutral,Tailwater Capital LLC,155,22-11-2024,37.35,13-12-2024,35.91,404.76,-9.88,Completed
03-12-2024,2023,NU,Eversource Energy,23.1,0.0005,Green,Municipal wastewater system/New England,Neutral,City of Ansonia CT,,22-11-2024,13.91,13-12-2024,11.94,43822.37,1.14,Completed
03-12-2024,2023,MARA,MARA Holdings Inc,1455.59,0.1707,Green,North Texas wind farm/Hansford County,Green,"Washington State Investment Board,National Grid Partners LLC",,22-11-2024,26.03,13-12-2024,22.73,8528.67,-3.49,Completed
02-12-2024,2023,CVE,Cenovus Energy Inc,8469286.41,295.3805,Brown,Gear Energy Ltd,Neutral,,129.48,21-11-2024,16.2,12-12-2024,15.11,28672.46,0.26,Completed
02-12-2024,2023,INVX,Innovex International Inc,8890.86,8.0083,Green,Downhole Well Solutions LLC,Neutral,,,21-11-2024,17.36,12-12-2024,13.22,1110.21,7.29,Completed
26-11-2024,2023,DNOW,DNOW Inc,19582,12.2541,Brown,Trojan Rentals LLC,Neutral,,,15-11-2024,14.37,06-12-2024,14.63,1597.99,1.42,Completed
25-11-2024,2023,SPRU,Spruce Power Holding Corp,342.15,7.9275,Green,Portfolio of 9800 residential solar systems/New Jersey,Green,New Jersey Resources Corp,132.5,14-11-2024,2.29,05-12-2024,2.94,43.16,-6.63,Completed
21-11-2024,2023,AMPS,Altus Power Inc,645.85,0.9942,Green,3.4 MW Community Solar Development Project/Maryland,Green,Chaberton Energy Holdings Inc,,08-11-2024,3.11,02-12-2024,4.04,649.6,0.79,Completed
20-11-2024,2023,LB,Landbridge Co LLC,76,0.0495,Green,Wolf Bone Ranch/Delaware,Neutral,VTX Energy Partners LLC,245,08-11-2024,75.39,02-12-2024,72.71,1534.77,0.38,Completed
19-11-2024,2023,DTM,DT Midstream Inc,5856083.83,564.8921,Brown,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",Brown,ONEOK Partners LP,1200,08-11-2024,97.17,29-11-2024,105.34,10366.73,0.73,Completed
14-11-2024,2023,FLEX,Flex Ltd,167998.8,11.6504,Brown,JETCOOL Technologies Inc,Neutral,"In-Q-Tel Inc,Schooner Capital LLC,Robert Bosch Venture Capital GmbH,Raptor Group Holdings LP (Fund: RW3 Ventures I LP)",,01-11-2024,35.48,25-11-2024,41.07,14420,1.44,Completed
13-11-2024,2023,CTRA,Coterra Energy Inc,1358410,69.9871,Brown,Certain Assets,Neutral,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950,01-11-2024,22.52,25-11-2024,26.99,19409.43,1.37,Completed
11-11-2024,2023,MARA,MARA Holdings Inc,1455.59,0.1715,Green,372 Megawatt Capacity/Ohio,Neutral,,,31-10-2024,16.77,21-11-2024,24.18,8487.94,-3.49,Completed
