Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
2025-02-25,2024,OPAL,OPAL Fuels Inc,Western Milling fueling station/Visalia,,,,14-02-2025,3.1,28-02-2025,2.5,82.45,0.6,,Completed
2025-02-14,2024,18LB.HA,Investment AB Latour,American Geothermal,Encore Energy Systems Inc,,,,,,,,,,Completed
2025-02-13,2024,AIV,Apartment Investment and Management Co,Midship pipeline/Kingfisher County,Cheniere Energy Inc,,,31-01-2025,9.04,24-02-2025,8.93,1264.93,-0.5,,Completed
2025-02-12,2024,APO,Apollo Global Management Inc,Bold Production Services LLC,,,,31-01-2025,170.49,24-02-2025,147.87,89560.96,0.39,,Completed
2025-02-12,2024,TRUL,Trulite Inc,Dependable Glass Works Inc,,,,31-01-2025,0.0,24-02-2025,0.0,,,,Completed
2025-02-06,2024,ONEW,OneWater Marine Inc,American Global Yacht Group LLC,,,,24-01-2025,17.07,18-02-2025,19.12,301.17,-0.74,,Completed
2025-02-04,2024,BTDR,Bitdeer Technologies Group,101 MW opal gas fired power project/Alberta,Kiwetinohk Energy Corp,21.7,,24-01-2025,20.66,14-02-2025,16.5,2433.85,-4.79,,Completed
2025-02-03,2024,CA89055A2039.SG,Topaz Energy Corp,40 MMcf/d natural gas processing facility/Alberta,Logan Energy Ltd,,,,,,,,,,Completed
2025-01-31,2024,FHLD,Freedom Holdings Inc,Renewable Energy Products Manufacturing Corp,,,,17-01-2025,0.16,10-02-2025,0.14,6.57,16.31,,Completed
2025-01-29,2024,BEPC,Brookfield Renewable Corp,3.2 MW Churchill Street Solar project/Pittsfield,Sunfarm Solar LLC,,,17-01-2025,25.01,10-02-2025,26.75,4393.51,,,Completed
2025-01-27,2024,AESI,Atlas Energy Solutions Inc,Moser Engine Service,Hilltop Holdings Inc,220.0,,16-01-2025,24.35,06-02-2025,21.46,3012.92,0.73,,Completed
2025-01-21,2024,SGSN.SW,SGS SA,MP Machinery & Testing LLC,Praesidian Capital Corp,,,10-01-2025,93.18,31-01-2025,88.52,16229.69,,,Completed
2025-01-15,2024,E,Eni SpA,Tate Engineering Systems Inc,,,,03-01-2025,27.7,27-01-2025,28.28,44085.96,0.37,,Completed
2025-01-14,2024,ABBN.SW,ABB Ltd,Coulomb Inc,,,,03-01-2025,49.16,24-01-2025,54.0,89837.93,2.35,,Completed
2025-01-10,2024,GRYP,Gryphon Digital Mining Inc,"BowArk Energy Ltd,Captus Generation Ltd","West Lake Energy Corp,BTG Capital Inc",16.65,,30-12-2024,0.4,21-01-2025,0.42,31.19,-78.83,,Completed
2025-01-10,2024,USEG,US Energy Corp,Operated acreage targeting helium & other industrial gas production/Toole County,Synergy Offshore LLC,4.27,,30-12-2024,1.61,21-01-2025,3.79,67.86,-3.51,,Completed
2025-01-10,2024,BKTPF,Cruz Battery Metals Corp,580 acre lithium brine project/Clayton Valley,Schlumberger NV,0.17,,30-12-2024,0.04,21-01-2025,0.03,3.86,-7.74,,Completed
2025-01-08,2024,KRP,Kimbell Royalty Partners LP,Magbee Ranch/New Mexico,Boren Minerals Inc,231.0,,27-12-2024,15.81,21-01-2025,15.94,1444.16,-2.9,,Completed
