Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
31-12-2024,2023,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200,,20-12-2024,100.91,10-01-2025,103.49,10078.13,0.73,5856083.829,Completed
31-12-2024,2023,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405,,20-12-2024,28.03,10-01-2025,26.25,778.95,0.15,3287765.295,Completed
24-12-2024,2023,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,13-12-2024,239.07,03-01-2025,252.4,71889.11,1.61,9679181,Completed
05-12-2024,2023,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505,,22-11-2024,41.09,16-12-2024,36.9,5682.79,-1.7,280001.5121,Completed
05-12-2024,2023,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,22-11-2024,4.17,16-12-2024,3.81,611.2,0.79,645.849,Completed
04-12-2024,2023,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905,,22-11-2024,15.28,16-12-2024,14.21,2791.61,-1.29,671906.162,Completed
03-12-2024,2023,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155,,22-11-2024,37.35,13-12-2024,35.91,404.76,-9.88,10916116.91,Completed
03-12-2024,2023,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,22-11-2024,13.91,13-12-2024,11.94,43822.37,1.14,23.1,Completed
03-12-2024,2023,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,22-11-2024,26.03,13-12-2024,22.73,8528.67,-3.49,1455.589,Completed
02-12-2024,2023,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,21-11-2024,16.2,12-12-2024,15.11,28672.46,0.26,8469286.411,Completed
02-12-2024,2023,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,21-11-2024,17.36,12-12-2024,13.22,1110.21,7.29,8890.858063,Completed
26-11-2024,2023,DNOW,DNOW Inc,Trojan Rentals LLC,,,,15-11-2024,14.37,06-12-2024,14.63,1597.99,1.42,19582,Completed
