institutionid,periodenddate,GHG_Emissions,Ticker
100213,31-12-2016,198.0958887,CPF
100213,31-12-2016,198.0958887,
100213,31-12-2017,181.5371517,CPF
100213,31-12-2017,181.5371517,
100213,31-12-2018,172.2222362,CPF
100213,31-12-2018,172.2222362,
100213,31-12-2019,171.8006251,CPF
100213,31-12-2019,171.8006251,
100213,31-12-2020,149.917,CPF
100213,31-12-2020,149.917,
100213,31-12-2021,206.242,CPF
100213,31-12-2021,206.242,
100213,31-12-2022,196.429,CPF
100213,31-12-2022,196.429,
100213,31-12-2023,159.551,CPF
100213,31-12-2023,159.551,
100233,31-12-2013,5171.338414,RF
100233,31-12-2014,6244.077819,RF
100233,31-12-2015,6431.81807,RF
100233,31-12-2016,5647.1127,RF
100233,31-12-2017,5539.201458,RF
100233,31-12-2018,6584.346199,RF
100233,31-12-2019,6431.1269,RF
100233,31-12-2020,4274,RF
100233,31-12-2021,4800,RF
100233,31-12-2022,5341,RF
100233,31-12-2023,6027,RF
102756,30-11-2018,1328.350634,JEF
102756,30-11-2018,1328.350634,
102756,30-11-2018,1328.350634,
102756,30-11-2019,1230.885834,JEF
102756,30-11-2019,1230.885834,
102756,30-11-2019,1230.885834,
102974,30-09-2016,1316.586893,MNR
102974,30-09-2017,1541.992909,MNR
102974,30-09-2018,1811.101122,MNR
102974,30-09-2019,2041.918641,MNR
102974,30-09-2020,2122.602,MNR
102974,30-09-2021,2197.98,MNR
103042,31-12-2013,30447.1326,MS
103042,31-12-2013,30447.1326,MS
103042,31-12-2013,30447.1326,MS7TJP
103042,31-12-2013,30447.1326,
103042,31-12-2013,30447.1326,
103042,31-12-2014,31300.0088,MS
103042,31-12-2014,31300.0088,MS
103042,31-12-2014,31300.0088,MS7TJP
103042,31-12-2014,31300.0088,
103042,31-12-2014,31300.0088,
103042,31-12-2015,33869.9918,MS
103042,31-12-2015,33869.9918,MS
103042,31-12-2015,33869.9918,MS7TJP
103042,31-12-2015,33869.9918,
103042,31-12-2015,33869.9918,
103042,31-12-2016,27610.0844,MS
103042,31-12-2016,27610.0844,MS
103042,31-12-2016,27610.0844,MS7TJP
103042,31-12-2016,27610.0844,
103042,31-12-2016,27610.0844,
103042,31-12-2017,29449.9244,MS
103042,31-12-2017,29449.9244,MS
103042,31-12-2017,29449.9244,MS7TJP
103042,31-12-2017,29449.9244,
