Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
31-12-2024,2023,DTM,DT Midstream Inc,922.0,5856083.829,6351.500899132321,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,Completed
31-12-2024,2023,CPF,Central Pacific Financial Corp,329.32,3287765.2945,9983.497189663549,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,Completed
24-12-2024,2023,CEG,Constellation Energy Corp,24918.0,9679181.0,388.44132755437835,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,Completed
05-12-2024,2023,CNX,CNX Resources Corp,1539.462,559825.292,363.6499582321616,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,Completed
05-12-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.162417344452894,Portfolio of 3 operational projects/Maine,,,,Completed
04-12-2024,2023,CRGY,Crescent Energy Co,2382.602,671906.162,282.00520355476914,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,Completed
03-12-2024,2023,SMC,Summit Midstream Corp,458.903,10916116.91,23787.416752559908,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,Completed
03-12-2024,2023,NU,Eversource Energy,8028.976,23.1,0.002877079219068534,Municipal wastewater system/New England,City of Ansonia CT,,,Completed
03-12-2024,2023,MARA,MARA Holdings Inc,387.508,1455.589,3.756281160647006,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,Completed
02-12-2024,2023,CVE,Cenovus Energy Inc,52195.0,8469286.411,162.262408487403,Gear Energy Ltd,,129.48,2.79,Completed
02-12-2024,2023,INVX,Innovex International Inc,555.539,8890.858063,16.00402143323871,Downhole Well Solutions LLC,,,,Completed
26-11-2024,2023,DNOW,DNOW Inc,2321.0,19582.0,8.436880654890134,Trojan Rentals LLC,,,,Completed
25-11-2024,2023,SPRU,Spruce Power Holding Corp,79.859,342.154,4.284476389636735,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,Completed
24-11-2024,2023,OKE,ONEOK Inc,17677.0,3994126.195,225.95045511116138,EnLink Midstream LLC,,8631.38,8.38,Completed
21-11-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.162417344452894,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,Completed
19-11-2024,2023,DTM,DT Midstream Inc,922.0,5856083.829,6351.500899132321,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200.0,,Completed
13-11-2024,2023,CTRA,Coterra Energy Inc,5914.0,1358410.0,229.69394656746704,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,Completed
11-11-2024,2023,MARA,MARA Holdings Inc,387.508,1455.589,3.756281160647006,372 Megawatt Capacity/Ohio,,,,Completed
06-11-2024,2023,NOW,ServiceNow Inc,8971.0,2430.0,0.2708728123954966,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,Completed
31-10-2024,2023,AEE,Ameren Corp,7500.0,19781102.63,2637.4803506666667,Huck Finn Renewable Energy center/Missouri,,,,Completed
30-10-2024,2023,EQNR,Equinor ASA,106848.0,11449109.44,107.15324049116501,Northern Marcellus gas unit/US,EQT Corp,1250.0,,Completed
29-10-2024,2023,CECO,CECO Environmental Corp,544.845,5978.081,10.972076462113078,Profire Energy Inc,,107.64,8.3,Completed
24-10-2024,2023,D,Dominion Energy Inc,14393.0,29523724.0,2051.2557493225872,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160.0,,Completed
23-10-2024,2023,SHEL,Shell PLC,316620.0,40524988.2245,127.99250907870633,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,Completed
15-10-2024,2023,CIFR,Cipher Mining Inc,126.842,476.454,3.7562794657920877,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,Completed
07-10-2024,2023,CRK,Comstock Resources Inc,1565.109,402370.886,257.08809162812304,Quantum Generative Materials LLC,,,,Completed
04-10-2024,2023,DSGR,Distribution Solutions Group I,1570.402,21419.678,13.639614570027291,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,Completed
01-10-2024,2023,SMC,Summit Midstream Corp,458.903,10916116.91,23787.416752559908,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,Completed
30-09-2024,2023,ULBI,Ultralife Corp,158.644,5610.406,35.36475378835632,Electrochem Solutions Inc,Integer Holdings Corp,50.0,,Completed
12-09-2024,2023,APO,Apollo Global Management Inc,32781.0,1182.0,0.03605747231628077,Freedom CNG Management LLC,,,,Completed
03-09-2024,2023,WFRD,Weatherford International PLC,5135.0,116153.0,22.619863680623173,Datagration LLC,,,,Completed
29-08-2024,2023,OKE,ONEOK Inc,17677.0,3994126.195,225.95045511116138,Medallion Midstream LLC,Global Infrastructure Management LLC,2600.0,,Completed
27-08-2024,2023,TPL,Texas Pacific Land Corp,631.595,13819.0,21.879527228682935,2 oil & gas mineral interests/Permian Basin,,169.0,,Completed
06-08-2024,2023,CEG,Constellation Energy Corp,24918.0,9679181.0,388.44132755437835,Constellation South Texas LLC,,,,Completed
06-08-2024,2023,MPLX,MPLX LP,11281.0,5401376.567,478.8029932630086,BANGL NGL pipeline/Permian,,,,Completed
29-07-2024,2023,PR,Permian Resources Corp,3120.893,892378.209,285.9368164816929,Certain Basin assets/Texas,Occidental Petroleum Corp,818.0,,Completed
29-07-2024,2023,SD,SandRidge Energy Inc,148.641,33621.262,226.19103746610966,Certain Assets,,144.0,,Completed
23-07-2024,2023,FLS,Flowserve Corp,4320.577,14551.5,3.3679529377673396,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Nexgen Cryogenic Solutions Inc,,,Completed
22-07-2024,2023,AROC,Archrock Inc,990.337,18566.676,18.747836342578335,Total Operations & Production Services LLC,Apollo Global Management Inc,969.63,,Completed
22-07-2024,2023,DOV,Dover Corp,7684.476,54787.0,7.129568756542411,Marshall Excelsior Co,Harbour Group Industries Inc,395.0,,Completed
10-07-2024,2023,HON,Honeywell International Inc,36662.0,695159.079,18.961297228738204,Liquefied natural gas process technology and equipment business/Allentown,Air Products and Chemicals Inc,1810.0,,Completed
09-07-2024,2023,SEI,Solaris Energy Infrastructure,292.947,4068.426,13.887925119560876,Mobile Energy Rentals LLC,,198.63,,Completed
09-07-2024,2023,UTL,Unitil Corp,557.1,20546.162,36.88056363309998,Bangor Natural Gas Co,Hearthstone Utilities Inc,70.9,,Completed
08-07-2024,2023,DVN,Devon Energy Corp,15258.0,2188624.6526725,143.44112286489053,Williston Basin business/Grayson Mill Energy LLC,Grayson Mill Energy LLC,5000.0,,Completed
30-06-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.162417344452894,9.8 MW solar energy facilities/Massachusetts,,9.8,,Completed
27-06-2024,2023,GNRC,Generac Holdings Inc,4022.667,34280.0,8.52170960211223,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Sungrid Solutions Inc,,,Completed
24-06-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.162417344452894,8.5 MW solar array/New Jersey,,,,Completed
12-06-2024,2023,MTDR,Matador Resources Co,2808.046,1051432.0,374.43546152733967,Ameredev Stateline II LLC,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905.0,,Completed
10-06-2024,2023,NE,Noble Corp PLC,2589.018,880644.0,340.1459549528045,Diamond Offshore Drilling Inc,,2171.27,12.19,Completed
03-06-2024,2023,PUMP,ProPetro Holding Corp,1630.399,294004.681,180.32682858613137,Aqua Prop LLC,,24.88,,Completed
28-05-2024,2023,COP,ConocoPhillips,56141.0,8221074.884,146.43620320265046,Marathon Oil Corp,,22921.61,5.22,Completed
22-05-2024,2023,KMI,Kinder Morgan Inc,15334.0,14900000.0,971.6968827442286,Oil & gas producing assets/US,,100.0,,Completed
16-05-2024,2023,CRGY,Crescent Energy Co,2382.602,671906.162,282.00520355476914,SilverBow Resources Inc,,2025.54,4.52,Completed
13-05-2024,2023,OKE,ONEOK Inc,17677.0,3994126.195,225.95045511116138,Certain pipeline systems/Gulf Coast,Easton Energy LLC,280.0,,Completed
