Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
31-12-2024,2023,DTM,DT Midstream Inc,922,5856083.829,46.7993,Brown,3 interstate natural gas pipeline systems/ONEOK Inc,Brown,ONEOK Inc,1200,,Completed
31-12-2024,2023,CPF,Central Pacific Financial Corp,329.32,3287765.295,9983.4972,Brown,American Savings Bank FSB/Honolulu HI,Neutral,Hawaiian Electric Industries Inc,405,,Completed
24-12-2024,2023,CEG,Constellation Energy Corp,24918,9679181,579.5398,Brown,Portfolio of 26 acre mystic property/Constellation Energy Corp,Neutral,Eversource Energy,,,Completed
05-12-2024,2023,CNX,CNX Resources Corp,1539.462,559825.292,374.746,Brown,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Brown,Wcaa Upstream LLC,505,,Completed
05-12-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.3535,Green,Portfolio of 3 operational projects/Maine,Neutral,,,,Completed
04-12-2024,2023,CRGY,Crescent Energy Co,2382.602,671906.162,367.4282,Brown,Eagle Ford assets/Ridgemar Energy Operating LLC,Brown,Ridgemar Energy Operating LLC,905,,Completed
03-12-2024,2023,SMC,Summit Midstream Corp,458.903,10916116.91,23787.4168,Brown,Tall Oak Midstream III LLC,Brown,Tailwater Capital LLC,155,,Completed
03-12-2024,2023,NU,Eversource Energy,8028.976,23.1,0.014,Green,Municipal wastewater system/New England,Brown,City of Ansonia CT,,,Completed
03-12-2024,2023,MARA,MARA Holdings Inc,387.508,1455.589,3.7563,Green,North Texas wind farm/Hansford County,Green,"Washington State Investment Board,National Grid Partners LLC",,,Completed
02-12-2024,2023,CVE,Cenovus Energy Inc,52195,8469286.411,282.1381,Brown,Gear Energy Ltd,Brown,,129.48,2.79,Completed
02-12-2024,2023,INVX,Innovex International Inc,555.539,8890.858063,16.004,Green,Downhole Well Solutions LLC,Brown,,,,Completed
26-11-2024,2023,DNOW,DNOW Inc,2321,19582,23.8097,Green,Trojan Rentals LLC,Brown,,,,Completed
25-11-2024,2023,SPRU,Spruce Power Holding Corp,79.859,342.154,11.9472,Green,Portfolio of 9800 residential solar systems/New Jersey,Green,New Jersey Resources Corp,132.5,,Completed
24-11-2024,2023,OKE,ONEOK Inc,17677,3994126.195,280.2397,Brown,EnLink Midstream LLC,Brown,,8631.38,8.38,Completed
21-11-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.3535,Green,3.4 MW Community Solar Development Project/Maryland,Green,Chaberton Energy Holdings Inc,,,Completed
19-11-2024,2023,DTM,DT Midstream Inc,922,5856083.829,46.7993,Brown,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",Brown,ONEOK Partners LP,1200,,Completed
13-11-2024,2023,CTRA,Coterra Energy Inc,5914,1358410,274.3338,Brown,Certain Assets,Neutral,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950,,Completed
11-11-2024,2023,MARA,MARA Holdings Inc,387.508,1455.589,3.7563,Green,372 Megawatt Capacity/Ohio,Neutral,,,,Completed
06-11-2024,2023,NOW,ServiceNow Inc,8971,2430,0.2709,Green,Mission Secure Inc,Green,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,Completed
31-10-2024,2023,AEE,Ameren Corp,7500,19781102.63,4130.9053,Brown,Huck Finn Renewable Energy center/Missouri,Green,,,,Completed
30-10-2024,2023,EQNR,Equinor ASA,106848,11449109.44,152.8418,Brown,Northern Marcellus gas unit/US,Brown,EQT Corp,1250,,Completed
