Announce Date,Announce_Date_DT,Reference_Date,Reference_Year,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Acquirer_GHG_Emissions,Annual_Sales,Carbon_Intensity,Target_Classification,Acquirer_Classification,status,ticker,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Percent_Return
31-12-2024,31-12-2024,31-12-2023,2023,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,Completed,5856083.829,922.0,6351.500899132321,Brown,Brown,Missing announcement date,NXU,20-12-2024,100.05,10-01-2025,102.6,2.56
31-12-2024,31-12-2024,31-12-2023,2023,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,Completed,3287765.295,329.32,9983.497189663549,Neutral,Brown,Missing announcement date,ADN,20-12-2024,28.03,10-01-2025,26.25,-6.33
24-12-2024,24-12-2024,24-12-2023,2023,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,Completed,9679181.0,24918.0,388.4413275543784,Neutral,Brown,Missing announcement date,ADN,13-12-2024,238.62,03-01-2025,251.93,5.58
05-12-2024,05-12-2024,05-12-2023,2023,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,Completed,559825.292,1539.462,363.6499582321616,Brown,Brown,Missing announcement date,NEXT,22-11-2024,41.09,16-12-2024,36.9,-10.2
05-12-2024,05-12-2024,05-12-2023,2023,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,Completed,645.849,155.162,4.162417344452894,Neutral,Green,Success,AMPS,22-11-2024,4.17,16-12-2024,3.81,-8.63
04-12-2024,04-12-2024,04-12-2023,2023,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,Completed,671906.162,2382.602,282.00520355476914,Brown,Brown,Success,CRGY,22-11-2024,15.11,16-12-2024,14.05,-7.0
03-12-2024,03-12-2024,03-12-2023,2023,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,Completed,10916116.91,458.903,23787.416752559908,Brown,Brown,Success,SMC,22-11-2024,37.35,13-12-2024,35.91,-3.86
03-12-2024,03-12-2024,03-12-2023,2023,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,Completed,23.1,8028.976,0.002877079,Brown,Green,Success,NU,22-11-2024,13.91,13-12-2024,11.94,-14.16
03-12-2024,03-12-2024,03-12-2023,2023,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,Completed,1455.589,387.508,3.756281160647006,Green,Green,Success,MARA,22-11-2024,26.03,13-12-2024,22.73,-12.68
02-12-2024,02-12-2024,02-12-2023,2023,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,Completed,8469286.411,52195.0,162.2624085,Brown,Brown,Success,CVE,21-11-2024,16.2,12-12-2024,15.11,-6.73
02-12-2024,02-12-2024,02-12-2023,2023,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,Completed,8890.858063,555.539,16.00402143323871,Brown,Green,Success,INVX,21-11-2024,17.36,12-12-2024,13.22,-23.85
26-11-2024,26-11-2024,26-11-2023,2023,DNOW,DNOW Inc,Trojan Rentals LLC,,,,Completed,19582.0,2321.0,8.436880654890134,Brown,Green,Success,DNOW,15-11-2024,14.37,06-12-2024,14.63,1.81
25-11-2024,25-11-2024,25-11-2023,2023,SPRU,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,Completed,342.154,79.859,4.284476389636735,Green,Green,Success,SPRU,14-11-2024,2.29,05-12-2024,2.94,28.38
