Announce Date,Reference_Year,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Acquirer_GHG_Emissions,Annual_Sales,Carbon_Intensity,Target_Classification,Acquirer_Classification,Announce_Date_DT,status,ticker,T_minus_3_Date,T_minus_3_Price,T_plus_3_Date,T_plus_3_Price,Percent_Return
2024-12-31,2023,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,Completed,5856083.829,922.0,46.7993,Brown,Brown,2024-12-31,Missing announcement date,NXU,2024-12-27,99.13,2025-01-03,102.69,3.59
2024-12-31,2023,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,Completed,3287765.295,329.32,9983.4972,Neutral,Brown,2024-12-31,Missing announcement date,ADN,2024-12-27,28.51,2025-01-03,27.38,-3.96
2024-12-24,2023,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,Completed,9679181.0,24918.0,579.5398,Neutral,Brown,2024-12-24,Missing announcement date,ADN,2024-12-20,226.6,2024-12-27,226.12,-0.21
2024-12-05,2023,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,Completed,559825.292,1539.462,374.746,Brown,Brown,2024-12-05,Missing announcement date,NEXT,2024-11-29,40.52,2024-12-09,36.72,-9.38
2024-12-05,2023,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,Completed,645.849,155.162,4.3535,Neutral,Green,2024-12-05,Success,AMPS,2024-11-29,4.32,2024-12-09,3.97,-8.1
2024-12-04,2023,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,Completed,671906.162,2382.602,367.4282,Brown,Brown,2024-12-04,Success,CRGY,2024-11-29,14.7,2024-12-09,14.24,-3.16
2024-12-03,2023,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,Completed,10916116.91,458.903,23787.4168,Brown,Brown,2024-12-03,Success,SMC,2024-11-29,37.79,2024-12-06,37.81,0.05
2024-12-03,2023,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,Completed,23.1,8028.976,0.014,Brown,Green,2024-12-03,Success,NU,2024-11-29,12.53,2024-12-06,12.03,-3.99
2024-12-03,2023,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,Completed,1455.589,387.508,3.7563,Green,Green,2024-12-03,Success,MARA,2024-11-29,27.42,2024-12-06,26.43,-3.61
2024-12-02,2023,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,Completed,8469286.411,52195.0,282.1381,Brown,Brown,2024-12-02,Success,CVE,2024-11-27,15.71,2024-12-05,15.64,-0.45
2024-12-02,2023,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,Completed,8890.858063,555.539,16.004,Brown,Green,2024-12-02,Success,INVX,2024-11-27,16.32,2024-12-05,15.63,-4.23
2024-11-26,2023,DNOW,DNOW Inc,Trojan Rentals LLC,,,,Completed,19582.0,2321.0,23.8097,Brown,Green,2024-11-26,Success,DNOW,2024-11-22,14.95,2024-11-29,15.05,0.67
2024-11-25,2023,SPRU,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,Completed,342.154,79.859,11.9472,Green,Green,2024-11-25,Success,SPRU,2024-11-21,2.33,2024-11-29,2.55,9.44
2024-11-24,2023,OKE,ONEOK Inc,EnLink Midstream LLC,,8631.38,8.38,Completed,3994126.195,17677.0,280.2397,Brown,Brown,2024-11-24,Success,OKE,2024-11-20,111.96,2024-11-27,111.4,-0.5
2024-11-21,2023,AMPS,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,Completed,645.849,155.162,4.3535,Green,Green,2024-11-21,Success,AMPS,2024-11-15,3.85,2024-11-25,4.28,11.17
2024-11-19,2023,DTM,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200.0,,Completed,5856083.829,922.0,46.7993,Brown,Brown,2024-11-19,Success,DTM,2024-11-15,99.2,2024-11-22,106.84,7.71
2024-11-13,2023,CTRA,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,Completed,1358410.0,5914.0,274.3338,Neutral,Brown,2024-11-13,Success,CTRA,2024-11-08,24.18,2024-11-18,25.91,7.14
2024-11-11,2023,MARA,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,Completed,1455.589,387.508,3.7563,Neutral,Green,2024-11-11,Success,MARA,2024-11-07,19.31,2024-11-14,20.79,7.66
2024-11-06,2023,NOW,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,Completed,2430.0,8971.0,0.2709,Green,Green,2024-11-06,Success,NOW,2024-11-01,943.41,2024-11-11,1036.01,9.82
2024-10-31,2023,AEE,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,Completed,19781102.63,7500.0,4130.9053,Green,Brown,2024-10-31,Success,AEE,2024-10-25,86.53,2024-11-04,84.78,-2.03
2024-10-30,2023,EQNR,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250.0,,Completed,11449109.44,106848.0,152.8418,Brown,Brown,2024-10-30,Success,EQNR,2024-10-25,24.74,2024-11-04,22.88,-7.54
2024-10-29,2023,CECO,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,Completed,5978.081,544.845,10.9721,Brown,Green,2024-10-29,Success,CECO,2024-10-25,26.77,2024-11-01,23.47,-12.33
2024-10-24,2023,D,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160.0,,Completed,29523724.0,14393.0,2673.0816,Green,Brown,2024-10-24,Success,D,2024-10-18,58.55,2024-10-28,58.74,0.33
2024-10-23,2023,SHEL,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,Completed,40524988.22,316620.0,271.7385,Neutral,Brown,2024-10-23,Success,SHEL,2024-10-18,65.63,2024-10-28,64.65,-1.49
2024-10-15,2023,CIFR,Cipher Mining Inc,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,Completed,476.454,126.842,3.7563,Neutral,Green,2024-10-15,Success,CIFR,2024-10-11,4.19,2024-10-18,4.97,18.62
2024-10-07,2023,CRK,Comstock Resources Inc,Quantum Generative Materials LLC,,,,Completed,402370.886,1565.109,478.3784,Green,Brown,2024-10-07,Success,CRK,2024-10-03,11.95,2024-10-10,11.73,-1.84
2024-10-04,2023,DSGR,Distribution Solutions Group I,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,Completed,21419.678,1570.402,13.6396,Brown,Green,2024-10-04,Success,DSGR,2024-09-30,38.51,2024-10-07,38.26,-0.65
2024-10-01,2023,SMC,Summit Midstream Corp,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,Completed,10916116.91,458.903,23787.4168,Brown,Brown,2024-10-01,Success,SMC,2024-09-27,34.59,2024-10-04,37.12,7.31
2024-09-30,2023,ULBI,Ultralife Corp,Electrochem Solutions Inc,Integer Holdings Corp,50.0,,Completed,5610.406,158.644,39.8598,Green,Brown,2024-09-30,Success,ULBI,2024-09-26,9.37,2024-10-03,9.52,1.6
2024-09-12,2023,APO,Apollo Global Management Inc,Freedom CNG Management LLC,,,,Completed,1182.0,32781.0,0.1,Brown,Green,2024-09-12,Success,APO,2024-09-06,107.39,2024-09-16,116.5,8.48
2024-09-03,2023,WFRD,Weatherford International PLC,Datagration LLC,,,,Completed,116153.0,5135.0,22.6199,Neutral,Green,2024-09-03,Success,WFRD,2024-08-30,104.25,2024-09-06,89.46,-14.19
2024-08-29,2023,OKE,ONEOK Inc,Medallion Midstream LLC,Global Infrastructure Management LLC,2600.0,,Completed,3994126.195,17677.0,280.2397,Brown,Brown,2024-08-29,Success,OKE,2024-08-23,86.25,2024-09-03,90.33,4.73
