Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status
2024-12-31,2023,DTM,DT Midstream Inc,922.0,5856083.83,46.7993,Brown,3 interstate natural gas pipeline systems/ONEOK Inc,Brown,ONEOK Inc,1200.0,,2024-12-27,99.13,2025-01-03,102.69,3.59,Completed
2024-12-31,2023,CPF,Central Pacific Financial Corp,329.32,3287765.3,9983.4972,Brown,American Savings Bank FSB/Honolulu HI,Neutral,Hawaiian Electric Industries Inc,405.0,,2024-12-27,28.51,2025-01-03,27.38,-3.96,Completed
2024-12-24,2023,CEG,Constellation Energy Corp,24918.0,9679181.0,579.5398,Brown,Portfolio of 26 acre mystic property/Constellation Energy Corp,Neutral,Eversource Energy,,,2024-12-20,226.6,2024-12-27,226.12,-0.21,Completed
2024-12-05,2023,CNX,CNX Resources Corp,1539.46,559825.29,374.746,Brown,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Brown,Wcaa Upstream LLC,505.0,,2024-11-29,40.52,2024-12-09,36.72,-9.38,Completed
2024-12-05,2023,AMPS,Altus Power Inc,155.16,645.85,4.3535,Green,Portfolio of 3 operational projects/Maine,Neutral,,,,2024-11-29,4.32,2024-12-09,3.97,-8.1,Completed
2024-12-04,2023,CRGY,Crescent Energy Co,2382.6,671906.16,367.4282,Brown,Eagle Ford assets/Ridgemar Energy Operating LLC,Brown,Ridgemar Energy Operating LLC,905.0,,2024-11-29,14.7,2024-12-09,14.24,-3.16,Completed
2024-12-03,2023,SMC,Summit Midstream Corp,458.9,10916116.91,23787.4168,Brown,Tall Oak Midstream III LLC,Brown,Tailwater Capital LLC,155.0,,2024-11-29,37.79,2024-12-06,37.81,0.05,Completed
2024-12-03,2023,NU,Eversource Energy,8028.98,23.1,0.014,Green,Municipal wastewater system/New England,Brown,City of Ansonia CT,,,2024-11-29,12.53,2024-12-06,12.03,-3.99,Completed
2024-12-03,2023,MARA,MARA Holdings Inc,387.51,1455.59,3.7563,Green,North Texas wind farm/Hansford County,Green,"Washington State Investment Board,National Grid Partners LLC",,,2024-11-29,27.42,2024-12-06,26.43,-3.61,Completed
2024-12-02,2023,CVE,Cenovus Energy Inc,52195.0,8469286.41,282.1381,Brown,Gear Energy Ltd,Brown,,129.48,2.79,2024-11-27,15.71,2024-12-05,15.64,-0.45,Completed
2024-12-02,2023,INVX,Innovex International Inc,555.54,8890.86,16.004,Green,Downhole Well Solutions LLC,Brown,,,,2024-11-27,16.32,2024-12-05,15.63,-4.23,Completed
2024-11-26,2023,DNOW,DNOW Inc,2321.0,19582.0,23.8097,Green,Trojan Rentals LLC,Brown,,,,2024-11-22,14.95,2024-11-29,15.05,0.67,Completed
2024-11-25,2023,SPRU,Spruce Power Holding Corp,79.86,342.15,11.9472,Green,Portfolio of 9800 residential solar systems/New Jersey,Green,New Jersey Resources Corp,132.5,,2024-11-21,2.33,2024-11-29,2.55,9.44,Completed
2024-11-24,2023,OKE,ONEOK Inc,17677.0,3994126.2,280.2397,Brown,EnLink Midstream LLC,Brown,,8631.38,8.38,2024-11-20,111.96,2024-11-27,111.4,-0.5,Completed
2024-11-21,2023,AMPS,Altus Power Inc,155.16,645.85,4.3535,Green,3.4 MW Community Solar Development Project/Maryland,Green,Chaberton Energy Holdings Inc,,,2024-11-15,3.85,2024-11-25,4.28,11.17,Completed
2024-11-19,2023,DTM,DT Midstream Inc,922.0,5856083.83,46.7993,Brown,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",Brown,ONEOK Partners LP,1200.0,,2024-11-15,99.2,2024-11-22,106.84,7.71,Completed
2024-11-13,2023,CTRA,Coterra Energy Inc,5914.0,1358410.0,274.3338,Brown,Certain Assets,Neutral,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,2024-11-08,24.18,2024-11-18,25.91,7.14,Completed
2024-11-11,2023,MARA,MARA Holdings Inc,387.51,1455.59,3.7563,Green,372 Megawatt Capacity/Ohio,Neutral,,,,2024-11-07,19.31,2024-11-14,20.79,7.66,Completed
2024-11-06,2023,NOW,ServiceNow Inc,8971.0,2430.0,0.2709,Green,Mission Secure Inc,Green,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,2024-11-01,943.41,2024-11-11,1036.01,9.82,Completed
2024-10-31,2023,AEE,Ameren Corp,7500.0,19781102.63,4130.9053,Brown,Huck Finn Renewable Energy center/Missouri,Green,,,,2024-10-25,86.53,2024-11-04,84.78,-2.03,Completed
2024-10-30,2023,EQNR,Equinor ASA,106848.0,11449109.44,152.8418,Brown,Northern Marcellus gas unit/US,Brown,EQT Corp,1250.0,,2024-10-25,24.74,2024-11-04,22.88,-7.54,Completed
2024-10-29,2023,CECO,CECO Environmental Corp,544.84,5978.08,10.9721,Green,Profire Energy Inc,Brown,,107.64,8.3,2024-10-25,26.77,2024-11-01,23.47,-12.33,Completed
2024-10-24,2023,D,Dominion Energy Inc,14393.0,29523724.0,2673.0816,Brown,Kitty Hawk North offshore wind lease area/Kitty Hawk,Green,Avangrid Inc,160.0,,2024-10-18,58.55,2024-10-28,58.74,0.33,Completed
2024-10-23,2023,SHEL,Shell PLC,316620.0,40524988.22,271.7385,Brown,RISEC Holdings LLC,Neutral,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,2024-10-18,65.63,2024-10-28,64.65,-1.49,Completed
2024-10-15,2023,CIFR,Cipher Mining Inc,126.84,476.45,3.7563,Green,1.5 GW of Data Center/Texas,Neutral,Juvo Energy Ltd,4.1,,2024-10-11,4.19,2024-10-18,4.97,18.62,Completed
2024-10-07,2023,CRK,Comstock Resources Inc,1565.11,402370.89,478.3784,Brown,Quantum Generative Materials LLC,Green,,,,2024-10-03,11.95,2024-10-10,11.73,-1.84,Completed
2024-10-04,2023,DSGR,Distribution Solutions Group I,1570.4,21419.68,13.6396,Green,ConRes Test Equipment/Continental Resources Inc,Brown,Continental Resources Inc/OK,,,2024-09-30,38.51,2024-10-07,38.26,-0.65,Completed
2024-10-01,2023,SMC,Summit Midstream Corp,458.9,10916116.91,23787.4168,Brown,Tall Oak Midstream LLC,Brown,Tailwater Capital LLC,425.18,,2024-09-27,34.59,2024-10-04,37.12,7.31,Completed
2024-09-30,2023,ULBI,Ultralife Corp,158.64,5610.41,39.8598,Brown,Electrochem Solutions Inc,Green,Integer Holdings Corp,50.0,,2024-09-26,9.37,2024-10-03,9.52,1.6,Completed
2024-09-12,2023,APO,Apollo Global Management Inc,32781.0,1182.0,0.1,Green,Freedom CNG Management LLC,Brown,,,,2024-09-06,107.39,2024-09-16,116.5,8.48,Completed
2024-09-03,2023,WFRD,Weatherford International PLC,5135.0,116153.0,22.6199,Green,Datagration LLC,Neutral,,,,2024-08-30,104.25,2024-09-06,89.46,-14.19,Completed
2024-08-29,2023,OKE,ONEOK Inc,17677.0,3994126.2,280.2397,Brown,Medallion Midstream LLC,Brown,Global Infrastructure Management LLC,2600.0,,2024-08-23,86.25,2024-09-03,90.33,4.73,Completed
2024-08-27,2023,TPL,Texas Pacific Land Corp,631.6,13819.0,21.8795,Green,2 oil & gas mineral interests/Permian Basin,Brown,,169.0,,2024-08-23,856.04,2024-08-30,865.88,1.15,Completed
2024-08-06,2023,CEG,Constellation Energy Corp,24918.0,9679181.0,579.5398,Brown,Constellation South Texas LLC,Brown,,,,2024-08-02,166.2,2024-08-09,188.87,13.64,Completed
2024-08-06,2023,MPLX,MPLX LP,11281.0,5401376.57,87.7545,Brown,BANGL NGL pipeline/Permian,Brown,,,,2024-08-02,39.69,2024-08-09,39.2,-1.24,Completed
2024-07-29,2023,PR,Permian Resources Corp,3120.89,892378.21,369.5357,Brown,Certain Basin assets/Texas,Neutral,Occidental Petroleum Corp,818.0,,2024-07-25,14.86,2024-08-01,14.3,-3.77,Completed
2024-07-29,2023,SD,SandRidge Energy Inc,148.64,33621.26,435.6299,Brown,Certain Assets,Neutral,,144.0,,2024-07-25,13.25,2024-08-01,12.68,-4.26,Completed
2024-07-23,2023,FLS,Flowserve Corp,4320.58,14551.5,3.368,Green,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Brown,Nexgen Cryogenic Solutions Inc,,,2024-07-19,49.29,2024-07-26,50.31,2.05,Completed
2024-07-22,2023,AROC,Archrock Inc,990.34,18566.68,18.1255,Green,Total Operations & Production Services LLC,Green,Apollo Global Management Inc,969.63,,2024-07-18,22.44,2024-07-25,20.84,-7.13,Completed
2024-07-22,2023,DOV,Dover Corp,7684.48,54787.0,17.253,Green,Marshall Excelsior Co,Neutral,Harbour Group Industries Inc,395.0,,2024-07-18,184.87,2024-07-25,184.85,-0.01,Completed
2024-07-10,2023,HON,Honeywell International Inc,36662.0,695159.08,91.2639,Brown,Liquefied natural gas process technology and equipment business/Allentown,Brown,Air Products and Chemicals Inc,1810.0,,2024-07-05,208.93,2024-07-15,212.36,1.64,Completed
2024-07-09,2023,SEI,Solaris Energy Infrastructure,292.95,4068.43,18.1944,Green,Mobile Energy Rentals LLC,Neutral,,198.63,,2024-07-05,8.15,2024-07-12,11.79,44.77,Completed
2024-07-09,2023,UTL,Unitil Corp,557.1,20546.16,36.8806,Brown,Bangor Natural Gas Co,Brown,Hearthstone Utilities Inc,70.9,,2024-07-05,49.92,2024-07-12,53.88,7.93,Completed
2024-07-08,2023,DVN,Devon Energy Corp,15258.0,2188624.65,708.9498,Brown,Williston Basin business/Grayson Mill Energy LLC,Brown,Grayson Mill Energy LLC,5000.0,,2024-07-03,46.94,2024-07-11,45.29,-3.51,Completed
2024-06-30,2023,AMPS,Altus Power Inc,155.16,645.85,4.3535,Green,9.8 MW solar energy facilities/Massachusetts,Green,,9.8,,2024-06-26,4.02,2024-07-03,3.98,-1.0,Completed
2024-06-27,2023,GNRC,Generac Holdings Inc,4022.67,34280.0,31.4087,Brown,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Green,Sungrid Solutions Inc,,,2024-06-21,137.0,2024-07-01,133.16,-2.8,Completed
2024-06-24,2023,AMPS,Altus Power Inc,155.16,645.85,4.3535,Green,8.5 MW solar array/New Jersey,Green,,,,2024-06-20,4.23,2024-06-27,4.23,0.0,Completed
2024-06-12,2023,MTDR,Matador Resources Co,2808.05,1051432.0,471.645,Brown,Ameredev Stateline II LLC,Brown,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905.0,,2024-06-07,57.25,2024-06-17,55.4,-3.24,Completed
2024-06-10,2023,NE,Noble Corp PLC,2589.02,880644.0,340.146,Brown,Diamond Offshore Drilling Inc,Brown,,2171.27,12.19,2024-06-06,40.53,2024-06-13,42.57,5.04,Completed
2024-06-03,2023,PUMP,ProPetro Holding Corp,1630.4,294004.68,18.1255,Green,Aqua Prop LLC,Brown,,24.88,,2024-05-30,9.23,2024-06-06,8.99,-2.6,Completed
2024-05-28,2023,COP,ConocoPhillips,56141.0,8221074.88,332.2106,Brown,Marathon Oil Corp,Brown,,22921.61,5.22,2024-05-24,114.67,2024-05-31,113.92,-0.66,Completed
2024-05-22,2023,KMI,Kinder Morgan Inc,15334.0,14900000.0,169.5854,Brown,Oil & gas producing assets/US,Brown,,100.0,,2024-05-17,19.01,2024-05-28,18.4,-3.2,Completed
2024-05-16,2023,CRGY,Crescent Energy Co,2382.6,671906.16,367.4282,Brown,SilverBow Resources Inc,Brown,,2025.54,4.52,2024-05-10,11.67,2024-05-20,12.24,4.83,Completed
2024-05-13,2023,OKE,ONEOK Inc,17677.0,3994126.2,280.2397,Brown,Certain pipeline systems/Gulf Coast,Neutral,Easton Energy LLC,280.0,,2024-05-09,77.44,2024-05-16,79.58,2.76,Completed
2024-05-09,2023,KNTK,Kinetik Holdings Inc,1256.41,2020748.93,1608.349,Brown,Durango Permian LLC,Brown,Morgan Stanley Energy Partners,315.0,,2024-05-03,36.47,2024-05-13,37.97,4.11,Completed
2024-04-30,2023,PWR,Quanta Services Inc,20882.21,988361.19,25.6389,Brown,Sherman + Reilly Inc,Neutral,Greenlee Textron Inc,,,2024-04-26,261.41,2024-05-03,256.08,-2.04,Completed
2024-04-29,2023,TMHC,Taylor Morrison Home Corp,7417.83,117397.11,15.8263,Green,Pyatt Builders LLC,Neutral,,,,2024-04-25,56.28,2024-05-02,56.25,-0.05,Completed
2024-04-26,2023,APO,Apollo Global Management Inc,32781.0,1182.0,0.1,Green,US Silica Holdings Inc,Brown,,1850.0,4.32,2024-04-22,109.07,2024-04-29,109.38,0.28,Completed
2024-04-15,2023,EQNR,Equinor ASA,106848.0,11449109.44,152.8418,Brown,Non-operated natural gas assets/EQT Corp,Brown,EQT Corp,500.0,,2024-04-11,26.06,2024-04-18,25.15,-3.51,Completed
2024-04-01,2023,AM,Antero Midstream Corp,1041.77,1021615.77,946.8638,Brown,Gathering & compression assets/Summit Midstream Partners LP,Brown,Summit Midstream Partners LP,70.0,,2024-03-28,13.23,2024-04-04,13.46,1.71,Completed
2024-04-01,2023,WTTR,Select Water Solutions Inc,1585.35,244677.91,93.8009,Brown,Trinity Environmental Services LLC,Green,,,,2024-03-28,9.01,2024-04-04,9.11,1.08,Completed
2024-03-29,2023,LUV,Southwest Airlines Co,26091.0,20684739.36,792.7921,Brown,SAFFiRE Renewables LLC,Green,,,,2024-03-25,27.85,2024-04-01,28.5,2.35,Completed
2024-03-22,2023,MPLX,MPLX LP,11281.0,5401376.57,87.7545,Brown,Summit Midstream Utica LLC,Brown,Summit Midstream Partners LP,625.0,,2024-03-18,37.23,2024-03-25,37.56,0.87,Completed
2024-03-22,2023,REPX,Riley Exploration Permian Inc,375.05,84832.27,145.8557,Brown,Upstream oil & gas assets/Eddy County,Brown,Contango Oil & Gas Co,20.5,,2024-03-18,27.94,2024-03-25,30.71,9.95,Completed
2024-03-18,2023,INVX,Innovex International Inc,555.54,8890.86,16.004,Green,Innovex Downhole Solutions Inc,Brown,,739.4,7.13,2024-03-14,23.53,2024-03-21,24.91,5.86,Completed
2024-03-12,2023,BLK,BlackRock Inc,17859.0,6689.0,0.5499,Green,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Green,Excelsior Energy Capital LP,,,2024-03-08,817.23,2024-03-15,784.39,-4.02,Completed
2024-03-11,2023,EQT,EQT Corp,5647.76,334460.44,258.5549,Brown,Equitrans Midstream Corp,Brown,,12880.88,12.38,2024-03-07,36.66,2024-03-14,33.24,-9.34,Completed
2024-03-11,2023,ACA,Arcosa Inc,2307.9,269401.5,116.7301,Brown,Ameron Pole Products LLC,Brown,NOV Inc,180.0,,2024-03-07,85.52,2024-03-14,80.71,-5.62,Completed
2024-03-05,2023,TALO,Talos Energy Inc,1457.89,646960.3,943.1981,Brown,Quarternorth Energy Holding Inc,Brown,,,,2024-03-01,13.33,2024-03-08,12.72,-4.58,Completed
2024-02-29,2023,LUV,Southwest Airlines Co,26091.0,20684739.36,792.7921,Brown,LanzaJet Inc,Green,,30.0,,2024-02-23,32.82,2024-03-04,33.14,0.98,Completed
2024-02-21,2023,WEC,WEC Energy Group Inc,8893.0,19011373.22,4866.8609,Brown,Samson I solar energy center/Wisconsin,Green,,28.1,,2024-02-16,75.28,2024-02-26,73.81,-1.95,Completed
2024-02-12,2023,FANG,Diamondback Energy Inc,8302.0,1568750.32,284.1958,Brown,Endeavor Energy Resources LP,Brown,,24997.05,,2024-02-08,145.91,2024-02-15,169.71,16.31,Completed
2024-02-10,2023,SHEL,Shell PLC,316620.0,40524988.22,271.7385,Brown,45 fuel & convenience store sites/New Mexico,Brown,Brewer Oil Co,,,2024-02-06,60.49,2024-02-13,60.27,-0.36,Completed
2024-02-09,2023,VTLE,Vital Energy Inc,1547.6,254174.78,201.1499,Brown,2nd producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",78.0,,2024-02-05,41.36,2024-02-12,44.91,8.58,Completed
2024-02-09,2023,MGEE,MGE Energy Inc,690.28,1771471.72,2566.2903,Brown,723.2 mw natural gas project/Wisconsin,Brown,Alliant Energy Corp,,,2024-02-05,60.55,2024-02-12,64.35,6.27,Completed
2024-02-06,2023,DNOW,DNOW Inc,2321.0,19582.0,23.8097,Green,Whitco Supply LLC,Brown,,185.0,,2024-02-02,9.99,2024-02-09,9.7,-2.9,Completed
2024-02-06,2023,NWN,Northwest Natural Holding Co,1197.47,157587.89,131.6001,Brown,Truxton Canyon Water Co Inc,Neutral,,,,2024-02-02,35.16,2024-02-09,33.44,-4.9,Completed
2024-02-05,2023,AWK,American Water Works Co Inc,4234.0,76351.62,22.0598,Green,Appliance Service Plan/Consumers Energy,Neutral,CMS Energy Corp,,,2024-02-01,121.69,2024-02-08,119.07,-2.16,Completed
