Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price ($),T_plus_10_Date,T_plus_10_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2024-10-31,2023,AEE,Ameren Corp,7500.000000,19781102.630000,2637.480400,Brown,Huck Finn Renewable Energy center/Missouri,Green,,,,2024-10-18,87.560000,2024-11-11,90.970000,3.890000,Completed,4.015889,-0.125889,-0.000377,0.002993,7.877958
2024-10-24,2023,D,Dominion Energy Inc,14393.000000,29523724.000000,2051.255700,Brown,Kitty Hawk North offshore wind lease area/Kitty Hawk,Green,Avangrid Inc,160.000000,,2024-10-11,54.930000,2024-11-04,56.300000,2.490000,Completed,-2.894625,5.384625,0.030933,0.005745,7.626695
2024-10-07,2023,CRK,Comstock Resources Inc,1565.110000,402370.890000,257.088100,Brown,Quantum Generative Materials LLC,Green,,,,2024-09-26,10.930000,2024-10-17,11.610000,6.220000,Completed,3.992650,2.227350,0.001391,0.000625,5.553301
2024-09-30,2023,ULBI,Ultralife Corp,158.640000,5610.410000,35.364800,Brown,Electrochem Solutions Inc,Green,Integer Holdings Corp,50.000000,,2024-09-19,9.580000,2024-10-10,8.960000,-6.470000,Completed,5.791997,-12.261997,-0.000776,0.000063,3.593601
2024-06-27,2023,GNRC,Generac Holdings Inc,4022.670000,34280.000000,8.521700,Brown,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Green,Sungrid Solutions Inc,,,2024-06-14,134.970000,2024-07-08,142.190000,5.350000,Completed,1.769040,3.580960,0.005749,0.001606,2.253573
2024-04-01,2023,WTTR,Select Water Solutions Inc,1585.350000,244677.910000,154.336500,Brown,Trinity Environmental Services LLC,Green,,,,2024-03-21,9.070000,2024-04-11,9.090000,0.220000,Completed,6.159699,-5.939699,-0.003758,0.000633,5.045594
2024-03-29,2023,LUV,Southwest Airlines Co,26091.000000,20684739.360000,792.792100,Brown,SAFFiRE Renewables LLC,Green,,,,2024-03-18,27.360000,2024-04-08,27.980000,2.280000,Completed,7.304071,-5.024071,-0.052319,0.010414,6.676822
2024-02-29,2023,LUV,Southwest Airlines Co,26091.000000,20684739.360000,792.792100,Brown,LanzaJet Inc,Green,,30.000000,,2024-02-16,32.970000,2024-03-11,32.990000,0.090000,Completed,4.041106,-3.951106,-0.041145,0.010414,6.676822
2024-02-21,2023,WEC,WEC Energy Group Inc,8893.000000,19011373.220000,2137.790800,Brown,Samson I solar energy center/Wisconsin,Green,,28.100000,,2024-02-09,73.980000,2024-03-04,76.870000,3.910000,Completed,1.891016,2.018984,0.007166,0.003549,7.667996
2024-02-02,2023,MGEE,MGE Energy Inc,690.280000,1771471.720000,2566.290300,Brown,4 MW solar hybrid project west riverside energy center/Wisconsin,Green,Alliant Energy Corp,,,2024-01-22,66.850000,2024-02-12,64.350000,-3.740000,Completed,5.064254,-8.804254,-0.002426,0.000276,7.850606
