Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price ($),T_plus_10_Date,T_plus_10_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2024-12-31,2023,DTM,DT Midstream Inc,922.000000,5856083.830000,6351.500900,Brown,3 interstate natural gas pipeline systems/ONEOK Inc,Brown,ONEOK Inc,1200.000000,,2024-12-20,100.050000,2025-01-10,102.600000,2.560000,Completed,2.327558,0.232442,0.000012,0.000053,8.756604
2024-12-31,2023,CPF,Central Pacific Financial Corp,329.320000,3287765.300000,9983.497200,Brown,American Savings Bank FSB/Honolulu HI,Neutral,Hawaiian Electric Industries Inc,405.000000,,2024-12-20,28.030000,2025-01-10,26.250000,-6.330000,Completed,2.327558,-8.657558,-0.000164,0.000019,9.208789
2024-12-24,2023,CEG,Constellation Energy Corp,24918.000000,9679181.000000,388.441300,Brown,Portfolio of 26 acre mystic property/Constellation Energy Corp,Neutral,Eversource Energy,,,2024-12-13,238.620000,2025-01-03,251.930000,5.580000,Completed,-4.918791,10.498791,0.015033,0.001432,5.964713
2024-12-05,2023,CNX,CNX Resources Corp,1539.460000,559825.290000,363.650000,Brown,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Brown,Wcaa Upstream LLC,505.000000,,2024-11-22,41.090000,2024-12-16,36.900000,-10.200000,Completed,-10.152388,-0.047612,-0.000004,0.000088,5.898938
2024-12-05,2023,AMPS,Altus Power Inc,155.160000,645.850000,4.162400,Green,Portfolio of 3 operational projects/Maine,Neutral,,,,2024-11-22,4.170000,2024-12-16,3.810000,-8.630000,Completed,-10.152388,1.522388,0.000014,0.000009,1.641402
2024-12-04,2023,CRGY,Crescent Energy Co,2382.600000,671906.160000,282.005200,Brown,Eagle Ford assets/Ridgemar Energy Operating LLC,Brown,Ridgemar Energy Operating LLC,905.000000,,2024-11-22,15.110000,2024-12-16,14.050000,-7.000000,Completed,-10.152388,3.152388,0.000432,0.000137,5.645465
2024-12-03,2023,SMC,Summit Midstream Corp,458.900000,10916116.910000,23787.416800,Brown,Tall Oak Midstream III LLC,Brown,Tailwater Capital LLC,155.000000,,2024-11-22,37.350000,2024-12-13,35.910000,-3.860000,Completed,-8.134265,4.274265,0.000113,0.000026,10.076954
2024-12-03,2023,NU,Eversource Energy,8028.980000,23.100000,0.002900,Green,Municipal wastewater system/New England,Brown,City of Ansonia CT,,,2024-11-22,13.910000,2024-12-13,11.940000,-14.160000,Completed,-8.134265,-6.025735,-0.002780,0.000461,0.002896
2024-12-03,2023,MARA,MARA Holdings Inc,387.510000,1455.590000,3.756300,Green,North Texas wind farm/Hansford County,Green,"Washington State Investment Board,National Grid Partners LLC",,,2024-11-22,26.030000,2024-12-13,22.730000,-12.680000,Completed,-8.134265,-4.545735,-0.000101,0.000022,1.559470
2024-12-02,2023,CVE,Cenovus Energy Inc,52195.000000,8469286.410000,162.262400,Brown,Gear Energy Ltd,Brown,,129.480000,2.790000,2024-11-21,16.200000,2024-12-12,15.110000,-6.730000,Completed,-6.923397,0.193397,0.000580,0.002999,5.095359
2024-12-02,2023,INVX,Innovex International Inc,555.540000,8890.860000,16.004000,Green,Downhole Well Solutions LLC,Brown,,,,2024-11-21,17.360000,2024-12-12,13.220000,-23.850000,Completed,-6.923397,-16.926603,-0.000540,0.000032,2.833449
2024-11-26,2023,DNOW,DNOW Inc,2321.000000,19582.000000,8.436900,Green,Trojan Rentals LLC,Brown,,,,2024-11-15,14.370000,2024-12-06,14.630000,1.810000,Completed,-4.058193,5.868193,0.000783,0.000133,2.244628
2024-11-25,2023,SPRU,Spruce Power Holding Corp,79.860000,342.150000,4.284500,Green,Portfolio of 9800 residential solar systems/New Jersey,Green,New Jersey Resources Corp,132.500000,,2024-11-14,2.290000,2024-12-05,2.940000,28.380000,Completed,-2.031535,30.411535,0.000140,0.000005,1.664778
