Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2024-12-03,2023,MARA,MARA Holdings Inc,387.510000,1455.590000,3.756300,Green,North Texas wind farm/Hansford County,Green,"Washington State Investment Board,National Grid Partners LLC",,,2024-11-29,27.420000,2024-12-06,26.430000,-3.610000,Completed,-4.310350,0.700350,0.000091,0.000130,1.559470
2024-11-25,2023,SPRU,Spruce Power Holding Corp,79.860000,342.150000,11.947200,Green,Portfolio of 9800 residential solar systems/New Jersey,Green,New Jersey Resources Corp,132.500000,,2024-11-21,2.330000,2024-11-29,2.550000,9.440000,Completed,-0.840772,10.280772,0.000276,0.000027,2.560880
2024-11-21,2023,AMPS,Altus Power Inc,155.160000,645.850000,4.353500,Green,3.4 MW Community Solar Development Project/Maryland,Green,Chaberton Energy Holdings Inc,,,2024-11-15,3.850000,2024-11-25,4.280000,11.170000,Completed,0.505946,10.664054,0.000556,0.000052,1.677751
2024-11-06,2023,NOW,ServiceNow Inc,8971.000000,2430.000000,0.270900,Green,Mission Secure Inc,Green,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,2024-11-01,943.410000,2024-11-11,1036.010000,9.820000,Completed,6.422847,3.397153,0.010249,0.003017,0.239725
2024-10-31,2023,AEE,Ameren Corp,7500.000000,19781102.630000,4130.905300,Brown,Huck Finn Renewable Energy center/Missouri,Green,,,,2024-10-25,86.530000,2024-11-04,84.780000,-2.030000,Completed,-0.256127,-1.773873,-0.004474,0.002522,8.326494
2024-10-24,2023,D,Dominion Energy Inc,14393.000000,29523724.000000,2673.081600,Brown,Kitty Hawk North offshore wind lease area/Kitty Hawk,Green,Avangrid Inc,160.000000,,2024-10-18,58.550000,2024-10-28,58.740000,0.330000,Completed,-1.588699,1.918699,0.009287,0.004840,7.891361
2024-10-07,2023,CRK,Comstock Resources Inc,1565.110000,402370.890000,478.378400,Brown,Quantum Generative Materials LLC,Green,,,,2024-10-03,11.950000,2024-10-10,11.730000,-1.840000,Completed,1.675485,-3.515485,-0.001850,0.000526,6.172490
2024-09-30,2023,ULBI,Ultralife Corp,158.640000,5610.410000,39.859800,Brown,Electrochem Solutions Inc,Green,Integer Holdings Corp,50.000000,,2024-09-26,9.370000,2024-10-03,9.520000,1.600000,Completed,5.920140,-4.320140,-0.000230,0.000053,3.710147
2024-07-22,2023,AROC,Archrock Inc,990.340000,18566.680000,18.125500,Green,Total Operations & Production Services LLC,Green,Apollo Global Management Inc,969.630000,,2024-07-18,22.440000,2024-07-25,20.840000,-7.130000,Completed,-1.416011,-5.713989,-0.001903,0.000333,2.951023
2024-06-30,2023,AMPS,Altus Power Inc,155.160000,645.850000,4.353500,Green,9.8 MW solar energy facilities/Massachusetts,Green,,9.800000,,2024-06-26,4.020000,2024-07-03,3.980000,-1.000000,Completed,0.043723,-1.043723,-0.000054,0.000052,1.677751
